      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-10-17 23:23:23.66 40.505 -112.179 -2.00  1.67  1.62  13   7.0  0.00  0.00  ex   6  1.99  1.10 -122.3   4  2.06  2.16 -108.4
2012-10-18 17:08:09.68 40.522 -112.152 -2.00  1.82  1.67   9   9.0  0.00  0.00  ex   7  2.42  0.56 -150.3   4  1.83  4.15  -58.4
2012-10-18 19:10:50.48 41.676 -111.644  9.70 -9.99  0.67  12  10.0  1.10  0.40  eq   2  1.75  3.85  -90.6   0  0.00  0.00    0.0
2012-10-18 22:17:54.12 40.497 -112.159 -2.00  1.76  1.64  15   7.0  0.00  0.00  ex   7  2.48  0.52 -103.9   5  1.83  4.98  -82.6
2012-10-19 17:39:29.35 40.526 -112.150 -2.00  1.52  1.32  10   9.0  0.00  0.00  ex   5  2.19  1.32  -79.9   3  1.66 12.13  -66.9
2012-10-19 23:25:30.30 40.492 -112.167 -2.00  1.80  1.81  19   7.0  0.00  0.00  ex   6  2.28  0.84 -111.6   7  2.07  2.77  -59.8
2012-10-20 04:04:38.17 40.933 -111.385 11.42  1.84  1.67  42   7.0  0.40  0.30  eq  18  2.29  5.22 -122.2  10  2.83 12.67  -86.8
2012-10-20 13:08:25.37 39.153 -111.661 19.03  2.34  2.04  29   4.0  0.60  0.40  eq  21  2.59  3.79 -119.4  17  2.66 12.87 -117.2
2012-10-20 18:28:38.22 40.521 -112.180 -2.00  1.52  1.53  27   6.0  0.00  0.00  ex   8  1.69 15.85 -106.9   9  1.72  9.74  -86.0
2012-10-21 00:18:59.32 40.513 -112.156 -2.00  1.72  1.76  17   8.0  0.00  0.00  ex   8  2.67  0.29 -123.2   7  2.02  4.92  -72.6
2012-10-21 17:39:08.87 40.524 -112.163 -2.00  1.86  1.88  15   8.0  0.00  0.00  ex  10  2.44  0.74 -112.3  10  2.21  2.52  -86.1
2012-10-21 21:20:58.83 40.523 -112.160 -2.00  1.53  1.61  12   8.0  0.00  0.00  ex   5  2.39  0.39 -123.3   4  1.74  5.52  -58.7
2012-10-23 16:59:44.34 40.527 -112.159 -2.00  1.82  1.89  18   8.0  0.00  0.00  ex   2  2.47  0.74  -85.1   3  2.17  2.10  -90.2
2012-10-23 20:30:07.62 40.529 -112.170 -2.00  1.68  1.61  19   7.0  0.00  0.00  ex   8  1.84  1.97 -106.0   7  1.83  6.49  -72.7
2012-10-24 05:13:17.41 39.154 -111.664 18.71  2.40  2.12  24   4.0  0.80  0.40  eq  19  2.55  4.98 -125.9  14  2.69 15.38 -109.1
2012-10-24 15:09:59.73 42.083 -112.501  5.19  1.87  1.87  17   7.0  0.80  0.30  eq   8  2.45  3.36  -86.4   4  2.52 11.71  -87.4
2012-10-24 16:31:14.03 40.524 -112.157 -2.00  1.36  2.53   6   8.0  0.00  0.00  ex   3  2.28  1.23  -60.1   0  0.00  0.00    0.0
2012-10-24 19:13:33.77 40.812 -111.871 -2.00  0.98  1.58   8   2.0  0.00  0.00  ex   1  1.38  3.80  -58.3   0  0.00  0.00    0.0
2012-10-24 19:58:55.40 40.521 -112.158 -2.00  1.69  1.64  17   8.0  0.00  0.00  ex   8  1.99  1.34  -96.5   5  2.09  2.27  -78.1
2012-10-24 23:20:36.65 40.621 -109.545 -2.00  2.79  3.01  17   6.0  0.00  0.00  ex   9  2.80  1.24 -131.5   6  3.27  0.45 -106.2
2012-10-25 16:10:53.49 38.156 -109.141 -2.00 -9.99  1.71   5  18.0  0.00  0.00  ex   1  1.54  9.26  -85.7   1  2.03 12.44  -73.7
2012-10-25 22:16:45.58 40.491 -112.174 -2.00  1.70  1.70  15   7.0  0.00  0.00  ex   7  2.74  0.31 -123.2   6  2.04  2.57  -67.8
2012-10-26 18:11:51.27 40.486 -112.171 -2.00  1.26  1.24   9   7.0  0.00  0.00  ex   4  1.78  1.14 -120.6   2  1.86  3.18  -57.3
2012-10-26 22:34:02.60 40.525 -112.147 -2.00  1.81  1.79  25   9.0  0.00  0.00  ex   6  2.55  0.42 -143.4   5  2.15  1.96  -86.9
2012-10-27 19:19:08.28 40.505 -112.141 -2.00  1.57  1.89  13   7.0  0.00  0.00  ex   8  1.77 10.38  -90.1   3  1.98  8.01  -82.0
2012-10-27 22:58:54.12 40.494 -112.156 -2.00  1.63  1.66  21   7.0  0.00  0.00  ex  10  1.92  1.55  -95.2   5  1.98  3.38  -81.4
