,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y
1315,2015-02-22,10:31:44.43,36.794,-112.813,22.5,eq,,,0.84,,-91.3,,14.29,,,,,,,1
6344,2020-07-08,06:58:26.08,40.733,-112.06,7.2,eq,,,,,,,,,,,,,,1
3467,2019-04-30,07:13:02.22,39.409,-110.313,-1.4,mis,,,,,,,,,,,,,,2
2436,2017-06-27,17:28:50.77,41.135,-112.919,-1.5,ex,0.13,,0.32,,-83.5,,14.44,,,,,,,0
3146,2019-02-13,11:55:44.02,40.469,-111.928,5.8,eq,,,,,,,,,,,,,,1
7678,2021-10-05,23:41:20.36,36.87,-113.472,19.2,eq,,,0.12,,-144.2,,14.89,,,,,,,1
972,2014-06-11,21:51:14.23,40.825,-111.883,-2.0,ex,-0.53,,0.24,,-61.3,,11.9,,,,,,,0
5346,2020-04-02,09:35:45.97,40.759,-112.076,9.3,eq,0.15,0.81,0.77,-106.7,-127.7,15.81,14.89,,0.07,0.02,0.01,,-0.06,1
7307,2021-08-08,09:49:36.34,42.186,-112.561,4.8,eq,0.03,0.84,0.66,-106.2,-117.2,14.77,13.91,,,,,,-0.11,1
2006,2016-08-08,20:41:47.76,41.136,-112.908,-1.5,ex,-0.04,0.19,0.24,-96.0,-106.6,15.13,14.06,-0.07,-0.0,0.1,-0.05,0.39,0.65,0
4647,2020-03-20,00:21:17.81,40.76,-112.052,7.8,eq,,,,,,,,,,,,,,1
4514,2020-03-19,11:23:33.63,40.74,-112.037,8.1,eq,-0.01,,0.55,,-137.6,,14.76,,,,,,0.01,1
2804,2018-03-21,22:43:13.17,40.376,-111.391,9.8,eq,,,,,,,,,,,,,,1
5223,2020-03-28,03:44:46.42,40.748,-112.081,10.6,eq,,,,,,,,,,,,,,1
1225,2014-11-24,01:30:43.33,36.824,-112.916,17.4,eq,-0.16,,0.14,,-116.0,,14.28,,,,,,,1
8879,2022-08-04,19:37:45.04,39.432,-110.317,-1.0,mis,,,0.5,,-138.4,,12.38,,,,,,,2
2405,2017-06-20,00:03:25.57,40.819,-111.889,-2.0,ex,-0.22,0.65,0.63,-73.0,-118.7,12.49,11.63,0.14,0.22,0.29,,0.06,,0
1264,2015-01-10,22:35:15.43,40.505,-112.202,-2.0,ex,-0.21,0.21,0.57,-54.7,-111.5,14.23,13.03,,0.01,0.17,0.14,,0.63,0
666,2013-11-24,21:58:40.59,40.516,-112.165,-2.0,ex,-0.2,0.39,0.27,-69.1,-110.5,13.3,12.25,0.37,0.31,0.21,0.1,,0.39,0
7754,2021-10-14,20:38:43.65,39.43,-110.308,-1.7,mis,-0.34,0.05,0.12,-84.4,-112.1,13.75,12.79,,0.2,0.18,,,,2
1613,2015-09-14,20:06:19.36,40.394,-111.968,-2.0,ex,-0.14,0.87,,-61.3,,12.49,,,,,,,,0
2391,2017-06-07,16:24:41.04,40.723,-111.787,-2.0,ex,,,,,,,,,,,,,,0
4716,2020-03-20,08:21:08.07,40.756,-112.031,6.4,eq,0.13,0.74,0.81,-103.9,-116.2,15.95,14.91,,-0.22,-0.12,-0.15,,0.0,1
6088,2020-05-26,07:52:35.78,39.409,-110.307,-1.4,mis,,-0.02,0.14,-76.5,-114.4,14.74,12.66,,,,,,,2
9130,2022-09-09,05:18:24.92,39.429,-110.327,-0.9,mis,,,,,,,,,,,,,,2
8099,2022-01-11,02:13:01.43,39.421,-110.307,-1.8,mis,,,0.45,,-103.5,,12.66,,,,,,0.31,2
3786,2020-03-18,13:15:11.48,40.755,-112.058,8.9,eq,-0.74,-0.83,-0.85,-99.2,-100.1,16.81,16.37,0.06,-0.05,-0.07,0.03,-0.04,-0.15,1
189,2013-01-14,20:49:40.30,38.219,-111.284,7.9,eq,-0.19,0.75,0.68,-130.9,-108.8,15.22,14.64,,0.05,-0.01,0.03,,-0.18,1
3980,2020-03-18,16:45:46.16,40.75,-112.04,8.4,eq,0.08,,,,,,,,,,,,,1
585,2013-10-08,19:36:02.34,40.395,-111.954,-2.0,ex,,,,,,,,,,,,,,0
985,2014-06-20,16:37:43.99,38.156,-109.096,-2.0,ex,,,,,,,,,,,,,,0
5911,2020-05-02,01:51:13.83,38.472,-112.802,4.7,eq,0.33,,,,,,,,,,,,,1
3293,2019-02-25,04:32:41.82,40.466,-111.94,7.4,eq,,,,,,,,,,,,,,1
5860,2020-04-26,22:22:26.08,40.732,-112.071,7.5,eq,,,,,,,,,,,,,,1
5113,2020-03-24,15:37:41.15,40.742,-112.027,8.5,eq,,,,,,,,,,,,,,1
6469,2020-07-27,19:03:19.35,39.417,-110.322,-1.0,mis,,,,,,,,,,,,,,2
6917,2021-03-21,22:19:40.48,38.341,-113.106,5.5,eq,0.27,0.57,0.5,-95.6,-125.0,15.06,15.34,-0.18,-0.37,-0.4,-0.41,0.03,-0.1,1
2307,2017-04-01,23:44:22.07,41.933,-112.353,4.5,eq,,,0.77,,-94.7,,14.17,,,,,,,1
554,2013-09-17,20:29:07.19,40.526,-112.168,-2.0,ex,-0.42,,-0.25,,-90.2,,12.86,,,,,,,0
130,2012-11-28,21:05:22.26,39.619,-110.392,-2.5,mis,,,,,,,,,,,,,,2
7115,2021-06-05,17:07:52.88,37.154,-113.569,9.8,eq,-0.13,,0.31,,-116.6,,15.53,,,,,,,1
1404,2015-04-22,19:33:55.11,41.136,-112.915,-1.5,ex,0.04,,0.44,,-62.2,,14.25,,,,,,,0
1860,2016-04-03,21:04:34.13,37.57,-113.032,8.5,eq,-0.25,,0.39,,-125.0,,14.1,,,,,,-0.27,1
8541,2022-05-23,13:43:46.78,38.401,-112.954,8.5,eq,,,,,,,,,,,,,,1
4057,2020-03-18,18:25:55.22,40.744,-112.066,8.6,eq,,,,,,,,,,,,,,1
3973,2020-03-18,16:41:08.60,40.739,-112.055,8.3,eq,,,,,,,,,,,,,,1
479,2013-08-06,22:40:35.84,41.354,-111.988,-2.0,ex,,,,,,,,,,,,,,0
8750,2022-07-15,19:00:47.42,39.432,-110.314,-1.1,mis,-0.39,0.14,0.37,-80.1,-153.8,13.98,12.71,,0.27,-0.05,,,0.47,2
465,2013-07-26,17:20:04.85,38.956,-112.954,-2.0,ex,0.26,0.49,0.39,-85.7,-89.7,13.24,12.67,0.26,0.2,,,,,0
7980,2021-11-17,02:51:31.54,39.429,-110.319,-1.1,mis,,,,,,,,,,,,,,2
1133,2014-09-15,18:15:52.22,36.946,-113.624,-2.0,ex,-0.22,,-0.03,,-73.2,,13.75,,,,,,,0
7224,2021-07-27,16:39:45.97,39.43,-110.309,-1.2,mis,-0.47,,,,,,,,,,,,,2
138,2012-12-04,23:58:33.49,40.514,-112.163,-2.0,ex,0.06,0.45,0.23,-86.5,-93.9,13.42,12.84,0.36,0.37,0.31,,0.04,-0.02,0
7915,2021-11-03,18:24:08.11,39.422,-110.297,-2.8,mis,,0.0,0.25,-85.6,-81.8,14.31,12.66,,,,,,,2
2082,2016-09-21,04:03:37.94,38.475,-112.808,5.2,eq,0.0,0.58,0.39,-112.3,-124.7,15.69,14.62,0.09,0.03,0.04,-0.01,0.01,-0.02,1
6581,2020-09-12,12:59:31.41,36.969,-112.895,15.9,eq,-0.41,,-0.17,,-112.2,,14.51,,,,,,,1
9303,2022-11-18,01:49:55.88,39.17,-111.912,14.4,eq,0.34,0.59,0.53,-103.4,-125.0,15.46,14.66,0.1,-0.23,-0.09,0.01,-0.31,-0.1,1
3193,2019-02-15,17:55:16.60,40.474,-111.93,7.0,eq,,,,,,,,,,,,,,1
2785,2018-03-02,01:14:40.53,39.698,-113.215,-2.0,ex,,0.29,0.26,-69.8,-78.2,13.81,12.91,,0.21,0.35,,,,0
4338,2020-03-19,03:22:25.04,40.755,-112.04,6.6,eq,,,1.94,,-108.4,,14.31,,,,,,0.04,1
4154,2020-03-18,20:26:40.47,40.754,-112.079,10.3,eq,,,,,,,,,,,,,,1
5595,2020-04-15,03:27:26.14,40.728,-112.063,8.7,eq,,,,,,,,,,,,,,1
8194,2022-01-31,16:33:21.30,39.437,-110.331,-3.4,mis,,,,,,,,,,,,,,2
1661,2015-10-20,19:07:57.54,39.305,-112.027,18.3,eq,,,,,,,,,,,,,,1
723,2014-01-06,21:57:12.20,38.587,-112.045,10.5,eq,,,0.88,,-121.7,,14.09,,,,,,,1
2101,2016-10-01,01:17:15.00,40.533,-110.743,11.1,eq,,0.88,0.85,-78.2,-88.7,15.49,13.83,,,,,,-0.14,1
952,2014-06-04,16:36:24.45,38.112,-109.126,-2.0,ex,-0.33,,,,,,,,,,,,,0
5295,2020-03-31,08:37:17.92,40.743,-111.978,4.1,eq,,,,,,,,,,,,,,1
9131,2022-09-09,10:51:16.29,39.43,-110.321,-1.0,mis,,,,,,,,,,,,,,2
9665,2023-09-24,01:19:49.82,37.433,-113.114,10.4,eq,-0.18,,,,,,,,,,,,,1
6102,2020-05-27,19:29:59.72,40.784,-111.952,7.9,eq,,,,,,,,,,,,,,1
6143,2020-06-02,10:57:31.73,37.029,-112.928,12.4,eq,0.39,0.51,0.48,-138.1,-140.2,16.43,15.44,-0.36,-0.28,-0.25,-0.24,-0.23,-0.23,1
39,2012-10-13,13:35:05.82,40.727,-111.779,-2.0,ex,,,,,,,,,,,,,,0
6195,2020-06-10,03:25:15.65,40.735,-112.052,7.3,eq,,,,,,,,,,,,,,1
5000,2020-03-22,21:40:25.45,40.747,-112.071,6.9,eq,,,,,,,,,,,,,,1
7736,2021-10-13,23:10:08.23,39.429,-110.308,-1.7,mis,-0.3,-0.09,0.04,-91.9,-122.9,14.18,12.61,0.21,0.25,0.18,0.14,0.54,0.51,2
7958,2021-11-11,16:24:12.55,39.424,-110.314,-1.3,mis,,,,,,,,,,,,,,2
3049,2018-12-04,10:29:09.69,39.411,-110.304,-2.1,mis,,,0.3,,-95.8,,12.49,,,,,,,2
9328,2022-12-24,02:02:07.32,41.886,-112.368,8.1,eq,,0.79,0.66,-78.1,-111.9,15.11,14.61,,-0.01,-0.01,-0.06,,-0.14,1
9614,2023-08-18,20:31:12.83,37.182,-112.891,19.9,eq,0.15,,0.39,,-144.2,,14.89,,-0.28,-0.2,-0.26,,-0.22,1
6922,2021-03-24,01:24:19.20,38.329,-113.089,4.0,eq,-0.07,0.42,0.32,-107.7,-110.4,15.26,15.44,-0.08,-0.34,-0.3,-0.26,0.02,-0.13,1
9229,2022-10-07,05:19:10.62,40.742,-112.049,5.8,eq,,,,,,,,,,,,,,1
6588,2020-09-17,04:57:04.91,38.042,-112.953,12.3,eq,,1.29,0.81,-76.7,-119.8,15.45,14.48,,-0.1,-0.08,,,-0.17,1
5990,2020-05-14,22:59:19.79,40.743,-112.061,8.1,eq,,,,,,,,,,,,,,1
5009,2020-03-23,01:19:54.44,40.774,-112.045,8.9,eq,,,,,,,,,,,,,,1
6410,2020-07-19,09:42:38.67,40.738,-112.044,9.0,eq,-0.1,0.47,0.48,-108.5,-126.0,15.4,15.08,0.01,-0.08,-0.05,-0.01,-0.34,-0.06,1
1361,2015-03-24,10:33:43.31,41.724,-112.371,8.0,eq,,,,,,,,,,,,,,1
5576,2020-04-15,00:58:25.94,40.742,-112.072,8.9,eq,0.06,0.62,0.49,-119.4,-148.8,16.95,15.2,0.02,-0.05,-0.04,-0.01,-0.26,-0.15,1
453,2013-07-15,19:57:43.28,38.138,-109.103,-2.0,ex,-0.62,,0.24,,-87.2,,11.76,,,,,,,0
8182,2022-01-27,21:04:21.35,39.422,-110.306,-1.9,mis,,,,,,,,,,,,,,2
891,2014-05-01,14:42:28.20,40.521,-112.151,-2.0,ex,-0.11,,1.7,,-81.7,,10.69,,,,,,,0
8330,2022-02-25,06:25:57.41,39.423,-110.308,-2.0,mis,,,0.31,,-131.4,,12.13,,,,,,0.26,2
7058,2021-05-05,01:40:44.52,39.429,-110.321,-1.8,mis,,,,,,,,,,,,,,2
7836,2021-10-26,00:56:28.85,39.429,-110.32,-1.1,mis,,,,,,,,,,,,,,2
7068,2021-05-10,15:57:39.63,39.419,-110.308,-2.1,mis,,,,,,,,,,,,,,2
1358,2015-03-22,16:54:55.55,40.755,-111.682,9.3,eq,,,0.79,,-84.8,,13.48,,,,,,,1
909,2014-05-10,19:47:12.84,40.505,-112.181,-2.0,ex,0.03,0.27,0.33,-78.9,-101.7,13.12,13.89,,,,,,,0
8091,2022-01-07,01:43:45.84,39.423,-110.305,-2.2,mis,-0.58,0.48,-0.09,-68.9,-121.5,12.46,12.37,,,,,,0.54,2
3123,2019-01-25,11:41:48.97,37.438,-113.13,11.7,eq,0.07,,0.34,,-126.8,,14.66,,,,,,-0.45,1
6248,2020-06-18,10:44:58.54,40.738,-112.081,7.9,eq,,,,,,,,,,,,,,1
2657,2017-11-03,09:34:29.96,38.14,-112.867,8.6,eq,,0.74,0.6,-79.2,-123.4,15.87,15.76,,-0.02,-0.1,-0.11,,-0.4,1
9110,2022-09-07,03:35:34.57,39.427,-110.304,-1.5,mis,-0.4,0.32,,-98.0,,12.36,,,,,,-0.01,,2
25,2012-10-10,22:38:40.70,40.5,-112.156,-2.0,ex,0.18,0.54,0.46,-69.8,-97.1,13.58,12.54,,0.36,,,-0.1,,0
7539,2021-09-14,20:58:21.02,39.431,-110.318,-1.1,mis,,,,,,,,,,,,,,2
7918,2021-11-03,23:25:04.30,39.425,-110.314,-1.4,mis,,,,,,,,,,,,,,2
7391,2021-08-26,01:52:03.02,39.429,-110.312,-1.0,mis,-0.28,0.42,0.52,-109.6,-140.4,13.54,12.7,0.08,0.29,0.21,0.04,0.53,0.62,2
4041,2020-03-18,18:10:32.99,40.746,-112.047,7.7,eq,,,,,,,,,,,,,,1
6776,2020-12-15,18:05:33.44,40.728,-112.074,9.8,eq,,,,,,,,,,,,,,1
6024,2020-05-17,23:55:15.27,40.719,-112.015,9.6,eq,,,,,,,,,,,,,,1
7297,2021-08-05,15:45:13.88,39.425,-110.299,-1.9,mis,-0.54,-0.04,-0.07,-89.0,-99.2,12.45,12.54,,,,,,,2
6696,2020-11-12,18:39:39.90,40.735,-112.046,8.5,eq,,,,,,,,,,,,,,1
9667,2023-09-24,16:02:56.54,38.387,-112.846,8.0,eq,,,,,,,,,,,,,,1
5139,2020-03-25,05:19:32.48,40.748,-111.961,3.5,eq,,,,,,,,,,,,,,1
7683,2021-10-06,03:36:26.69,39.426,-110.305,-1.6,mis,,,0.25,,-97.7,,13.17,,,,,,,2
1886,2016-05-01,18:15:07.67,40.495,-112.175,-2.0,ex,-0.08,-0.12,0.55,-79.1,-136.6,14.38,11.86,,0.08,0.07,-0.05,,0.2,0
9080,2022-09-01,03:20:25.27,39.429,-110.311,-1.2,mis,-0.31,0.16,0.31,-101.3,-120.8,14.35,12.81,-0.08,0.18,,,0.29,,2
4194,2020-03-18,22:03:51.65,40.728,-112.095,7.6,eq,,,,,,,,,,,,,,1
4169,2020-03-18,20:50:44.15,40.76,-112.053,7.3,eq,,,,,,,,,,,,,,1
5201,2020-03-27,09:01:29.40,40.763,-111.97,5.9,eq,,,,,,,,,,,,,,1
417,2013-06-23,16:43:49.58,41.979,-112.418,9.6,eq,0.77,,1.09,,-88.7,,14.66,,,,,,,1
9332,2022-12-25,08:49:12.04,38.765,-111.529,13.2,eq,0.04,0.46,0.28,-115.9,-129.0,16.33,15.11,0.03,-0.03,-0.01,-0.03,-0.28,-0.29,1
5853,2020-04-25,15:59:39.19,40.727,-112.083,10.0,eq,,,,,,,,,,,,,,1
3710,2019-12-30,15:33:38.89,40.64,-111.587,9.1,eq,,,,,,,,,,,,,,1
3866,2020-03-18,14:36:26.56,40.757,-112.058,8.7,eq,-0.2,,0.17,,-111.0,,15.4,,,,,,,1
3796,2020-03-18,13:27:20.38,40.752,-112.054,7.5,eq,2.55,3.28,2.93,-28.5,-83.6,15.32,15.28,,,,,,0.23,1
4326,2020-03-19,02:49:31.24,40.758,-112.066,8.5,eq,-0.04,0.66,0.49,-95.9,-108.4,16.01,14.75,,-0.03,-0.18,-0.1,,-0.28,1
7554,2021-09-16,10:30:13.21,41.763,-111.654,12.0,eq,,,0.86,,-115.9,,13.29,,,,,,,1
1014,2014-07-03,17:15:45.29,41.983,-112.359,10.8,eq,0.3,0.59,0.54,-111.1,-134.9,16.05,15.55,-0.03,-0.03,-0.02,0.06,-0.2,-0.06,1
7193,2021-07-18,18:08:02.35,41.402,-109.684,5.8,eq,,,0.89,,-93.9,,14.83,,,,,,,1
9282,2022-10-30,16:09:08.51,40.728,-112.064,6.4,eq,,,0.81,,-85.9,,13.88,,,,,,0.09,1
1781,2016-02-18,17:27:24.12,38.309,-108.579,-2.0,ex,,,,,,,,,,,,,,0
787,2014-03-03,21:21:04.91,36.937,-113.626,-2.0,ex,-0.27,,-0.26,,-78.0,,12.69,,,,,,-0.65,0
8698,2022-07-07,16:53:14.99,39.432,-110.319,-0.9,mis,-0.29,,,,,,,,,,,,,2
6167,2020-06-05,23:20:18.66,40.748,-112.053,9.1,eq,-0.08,0.58,0.5,-83.8,-114.6,15.01,14.87,,0.08,0.08,-0.04,,,1
9290,2022-11-06,16:11:53.04,36.984,-112.944,18.1,eq,0.05,0.36,0.3,-119.8,-149.8,16.81,15.37,-0.14,-0.12,-0.05,-0.05,-0.27,-0.26,1
3808,2020-03-18,13:40:56.48,40.776,-112.051,8.4,eq,-0.11,,,,,,,,,,,,,1
4376,2020-03-19,04:35:27.97,40.74,-112.037,8.4,eq,-0.27,,,,,,,,,,,,,1
7173,2021-07-08,13:42:44.38,40.718,-112.054,7.4,eq,,,,,,,,,,,,,,1
5405,2020-04-05,01:01:25.83,40.754,-112.073,10.1,eq,,,,,,,,,,,,,,1
3598,2019-09-01,14:50:39.87,38.538,-112.195,7.8,eq,,,1.05,,-119.6,,14.3,,,,,,0.12,1
1231,2014-12-04,20:27:04.60,40.492,-112.172,-2.0,ex,0.01,0.3,0.77,-90.8,-123.1,13.85,11.77,,,,,0.23,-0.16,0
2539,2017-08-15,15:46:43.47,41.016,-110.835,18.9,eq,0.0,0.42,0.44,-89.8,-149.5,15.48,14.51,,0.04,-0.08,-0.06,,-0.13,1
9016,2022-08-24,05:27:39.92,39.426,-110.297,-2.1,mis,,,,,,,,,,,,,,2
2892,2018-06-10,21:35:49.80,36.878,-113.053,23.4,eq,0.39,0.49,0.43,-132.2,-126.0,16.96,15.61,-0.02,-0.11,-0.09,-0.04,-0.44,-0.32,1
8760,2022-07-19,14:10:33.31,39.428,-110.307,-1.2,mis,-0.37,-0.03,0.14,-92.5,-64.9,14.25,13.68,,,,,,,2
7871,2021-10-29,01:02:57.86,40.736,-111.485,14.7,eq,0.16,0.72,0.61,-128.9,-124.2,16.04,14.59,0.07,0.08,0.03,0.14,-0.09,-0.09,1
6281,2020-06-25,16:49:00.26,40.721,-112.075,9.3,eq,,,,,,,,,,,,,,1
2268,2017-03-05,20:55:42.93,40.519,-112.174,-2.0,ex,0.17,,0.31,,-79.5,,12.42,,,,,,,0
7769,2021-10-16,01:24:01.61,39.425,-110.312,-1.2,mis,,0.87,0.29,-116.4,-126.7,12.24,13.08,0.08,0.17,,,,,2
2122,2016-10-13,19:28:51.79,37.046,-113.548,-2.0,ex,-0.56,,-0.22,,-120.3,,12.45,,,,,,0.28,0
9458,2023-04-27,07:26:10.60,37.56,-113.031,11.6,eq,,,,-93.0,-131.0,15.52,14.38,,0.06,0.11,0.04,,-0.33,1
4424,2020-03-19,06:24:12.49,40.75,-112.044,7.7,eq,,,0.77,,-65.5,,15.08,,,,,,,1
2186,2016-12-07,04:29:59.13,41.925,-112.344,5.9,eq,-0.08,0.12,0.04,-143.0,-147.8,16.34,15.92,-0.0,-0.02,-0.0,0.06,-0.09,-0.05,1
3586,2019-08-18,03:39:11.62,40.456,-111.338,13.0,eq,,,,,,,,,,,,,,1
8681,2022-07-05,23:34:18.65,39.428,-110.307,-1.2,mis,-0.47,0.12,0.29,-116.1,-158.9,13.31,12.62,-0.02,0.27,0.01,0.09,0.22,0.43,2
2311,2017-04-02,23:29:57.88,41.93,-112.342,6.1,eq,,,,,,,,,,,,,,1
7476,2021-09-03,04:39:43.67,39.428,-110.311,-1.2,mis,,,0.46,,-134.1,,12.09,,,,,,,2
63,2012-10-18,22:17:54.12,40.497,-112.159,-2.0,ex,0.12,0.19,0.84,-82.6,-103.9,13.94,11.97,,,,,0.08,-0.16,0
365,2013-05-11,01:14:34.19,40.254,-111.883,-2.0,ex,-0.29,0.1,-0.13,-86.2,-107.7,13.35,13.11,0.16,0.2,,,0.61,0.72,0
3304,2019-03-01,18:04:55.69,39.31,-111.214,-1.1,mis,,,,,,,,,,,,,,2
4713,2020-03-20,07:45:28.47,40.736,-112.054,7.4,eq,-0.03,,,,,,,,,,,,,1
3478,2019-05-04,18:47:51.46,41.87,-112.314,6.5,eq,,,,,,,,,,,,,,1
6501,2020-08-04,00:23:09.71,37.51,-113.408,7.8,eq,,,,,,,,,,,,,,1
5878,2020-04-29,00:52:22.14,40.754,-112.081,9.8,eq,,,,,,,,,,,,,,1
6818,2021-01-14,23:47:58.40,40.726,-112.062,7.3,eq,,,,,,,,,,,,,,1
8432,2022-03-23,09:42:23.20,39.422,-110.31,-1.9,mis,,,0.68,,-114.4,,12.32,,,,,,,2
8576,2022-06-08,23:38:28.52,40.719,-112.071,7.3,eq,,,,,,,,,,,,,,1
2838,2018-04-27,14:50:56.07,40.237,-113.24,-1.3,ex,-0.27,0.2,0.09,-81.0,-99.5,14.0,12.83,0.17,0.2,0.31,0.32,-0.01,0.33,0
8936,2022-08-11,19:31:46.59,39.432,-110.315,-1.0,mis,-0.47,,,,,,,,,,,,,2
3955,2020-03-18,16:20:17.20,40.748,-112.05,8.4,eq,,,,,,,,,,,,,,1
4224,2020-03-18,23:18:06.12,40.759,-112.069,7.3,eq,,,,,,,,,,,,,,1
2864,2018-05-19,10:55:52.25,37.189,-112.894,19.2,eq,0.19,,0.43,,-125.4,,15.07,,-0.24,-0.14,-0.21,,-0.37,1
593,2013-10-15,11:37:50.06,37.538,-113.122,12.0,eq,0.07,0.66,0.59,-112.2,-139.8,16.1,15.8,,-0.1,-0.1,-0.09,,-0.23,1
6615,2020-10-04,05:32:52.06,40.778,-112.073,12.1,eq,,,,,,,,,,,,,,1
1238,2014-12-14,18:07:34.46,41.616,-112.359,7.8,eq,,,,,,,,,,,,,,1
8183,2022-01-27,21:43:18.25,39.424,-110.308,-1.9,mis,,,,,,,,,,,,,,2
8916,2022-08-09,20:33:05.26,39.431,-110.314,-0.9,mis,-0.34,0.25,0.52,-109.5,-135.6,13.95,12.86,,0.29,,,,,2
9092,2022-09-02,10:09:02.27,40.486,-111.334,12.8,eq,,,1.04,,-100.3,,13.26,,,,,,-0.03,1
131,2012-11-28,22:51:40.87,38.962,-112.921,-2.0,ex,0.26,0.42,0.42,-87.9,-107.0,13.56,12.74,0.24,0.23,,,,-0.09,0
1957,2016-07-03,20:29:23.77,40.53,-112.159,-2.0,ex,-0.01,0.4,0.44,-72.3,-98.1,14.63,12.73,,,,,,0.78,0
6162,2020-06-04,12:34:05.75,40.755,-112.045,8.5,eq,,,,,,,,,,,,,,1
7648,2021-09-30,04:22:29.29,39.426,-110.302,-2.0,mis,-0.4,0.32,-0.01,-42.6,-120.6,13.18,12.23,,,,,,,2
9219,2022-09-30,04:09:10.28,40.489,-111.352,11.0,eq,,,0.85,,-133.2,,16.2,,,,,,,1
3138,2019-02-11,05:31:26.71,37.422,-113.108,9.4,eq,,,,,,,,,,,,,,1
9141,2022-09-10,03:36:21.52,39.43,-110.301,-1.8,mis,,0.03,0.59,-78.9,-117.9,13.67,12.59,,,,,,0.27,2
611,2013-10-22,22:23:06.93,40.828,-111.89,-2.0,ex,-0.67,,,,,,,,,,,,,0
2525,2017-08-08,20:01:09.65,40.397,-111.963,-2.0,ex,0.01,0.05,0.45,-46.7,-116.8,13.07,12.58,,,,,,,0
7218,2021-07-26,16:21:50.43,39.43,-110.31,-0.9,mis,,,,,,,,,,,,,,2
9223,2022-10-02,06:08:10.78,40.748,-112.053,5.5,eq,,,0.71,,-126.4,,15.02,,,,,,,1
4838,2020-03-21,05:29:15.00,40.731,-112.067,5.6,eq,,,,,,,,,,,,,,1
749,2014-02-05,09:06:13.30,37.424,-113.133,9.3,eq,0.34,,1.2,,-111.7,,15.49,,,,,,,1
7419,2021-08-27,13:16:37.87,38.525,-112.495,11.2,eq,0.11,0.8,0.6,-102.1,-125.7,15.16,14.67,0.17,-0.1,-0.18,-0.11,-0.14,-0.21,1
6370,2020-07-14,20:19:19.24,39.412,-110.303,-1.5,mis,-0.32,-0.04,0.67,-93.8,-152.1,14.48,13.24,,,,,,0.18,2
7988,2021-11-18,00:30:02.09,39.423,-110.305,-1.8,mis,,-0.02,0.08,-79.8,-90.7,14.64,12.75,,0.22,0.11,,,,2
7830,2021-10-25,18:04:35.83,39.429,-110.313,-1.6,mis,,,,,,,,,,,,,,2
6524,2020-08-16,05:34:31.50,40.751,-112.067,8.3,eq,,,,,,,,,,,,,,1
3315,2019-03-03,17:38:53.48,37.492,-113.857,9.2,eq,,0.76,0.58,-115.8,-101.5,15.07,14.35,,0.03,0.09,-0.08,,-0.14,1
4030,2020-03-18,17:49:01.91,40.745,-112.061,7.2,eq,-0.19,,,,,,,,,,,,,1
8401,2022-03-14,18:05:31.14,39.419,-110.307,-2.1,mis,,,-0.08,,-113.8,,12.67,,,,,,,2
3835,2020-03-18,14:02:12.83,40.761,-112.069,9.1,eq,,-0.05,-0.17,-165.1,-153.3,16.56,16.46,-0.07,-0.09,-0.08,-0.06,0.01,0.05,1
1060,2014-07-30,17:34:18.29,38.949,-112.95,-2.0,ex,0.04,,,,,,,,,,,,,0
8954,2022-08-15,20:49:51.21,39.428,-110.308,-1.1,mis,-0.44,0.07,,-99.4,,14.01,,,,,,,,2
3391,2019-03-26,02:35:20.22,39.407,-110.313,-1.4,mis,-0.29,0.12,0.07,-96.0,-108.3,13.15,13.16,0.16,0.03,0.1,,,,2
5564,2020-04-14,14:19:40.35,40.739,-112.044,9.8,eq,-0.19,,,,,,,,,,,,,1
8435,2022-03-23,20:15:16.12,40.742,-111.942,6.4,eq,,,,,,,,,,,,,,1
9731,2023-11-17,00:40:17.72,41.063,-111.615,9.0,eq,,,0.31,,-107.8,,14.2,,,,,,,1
9505,2023-05-18,20:42:04.77,40.489,-112.109,10.3,eq,,,,,,,,,,,,,,1
1917,2016-05-26,23:40:36.17,40.81,-111.872,-2.0,ex,-0.77,,,,,,,,,,,,,0
3502,2019-05-23,06:36:39.04,36.993,-113.501,10.5,eq,,,0.42,,-110.6,,15.0,,,,,,-0.7,1
9624,2023-08-27,03:40:31.54,41.53,-111.735,9.7,eq,-0.04,0.6,0.79,-99.5,-144.6,16.24,14.25,-0.08,-0.22,-0.15,-0.16,-0.17,-0.09,1
4854,2020-03-21,08:19:00.19,40.739,-112.054,9.7,eq,0.11,0.79,0.67,-105.1,-124.4,16.86,14.93,,0.0,0.0,-0.06,,-0.1,1
6839,2021-01-26,02:31:13.51,39.426,-110.31,-1.6,mis,,,0.43,,-109.2,,12.81,,,,,,,2
9316,2022-11-30,21:17:52.49,41.68,-111.733,15.3,eq,,,0.87,,-91.4,,13.37,,,,,,,1
8978,2022-08-17,20:32:33.96,39.431,-110.306,-1.5,mis,-0.39,0.01,0.18,-109.5,-140.9,14.0,13.06,,,,,0.19,,2
7972,2021-11-16,06:27:54.45,39.43,-110.31,-1.6,mis,,-0.05,0.16,-79.2,-140.8,14.42,12.53,,0.24,0.02,,,0.45,2
6430,2020-07-22,20:22:50.30,39.412,-110.302,-1.6,mis,,,0.54,,-125.1,,12.82,,,,,,,2
1317,2015-02-23,22:39:09.61,41.049,-111.669,-2.0,ex,-0.19,,0.04,,-78.8,,12.92,,,,,,,0
