,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y
8647,2022-06-30,02:51:36.60,39.426,-110.302,-1.4,mis,-0.42,0.05,0.12,-94.3,-123.0,13.39,13.17,,,,,,,2
3091,2019-01-10,22:56:47.98,37.499,-113.857,5.8,eq,-0.31,0.55,0.4,-67.6,-129.0,15.12,14.86,0.03,-0.12,-0.09,-0.22,,-0.12,1
2543,2017-08-16,20:04:24.85,41.135,-112.91,-1.5,ex,0.0,0.41,0.17,-100.5,-107.1,14.52,14.38,0.04,0.05,0.19,,0.52,0.65,0
9308,2022-11-22,22:01:04.43,37.398,-112.396,17.0,eq,0.12,0.32,0.33,-113.2,-147.5,15.8,15.2,-0.1,-0.14,-0.11,-0.12,-0.32,-0.32,1
2434,2017-06-26,20:55:12.62,40.469,-111.926,6.6,eq,,,,,,,,,,,,,,1
1487,2015-07-03,04:47:16.32,38.004,-111.508,23.3,eq,-0.05,0.71,0.94,-118.1,-84.0,15.66,13.68,,0.04,0.07,0.05,,-0.23,1
936,2014-05-27,07:28:55.50,37.453,-113.851,2.9,eq,-0.04,0.42,0.55,-118.8,-133.7,15.08,15.88,,-0.29,-0.22,-0.35,,-0.37,1
6710,2020-11-18,00:28:40.32,40.755,-112.071,9.8,eq,,,,,,,,,,,,,,1
9160,2022-09-13,21:28:18.91,39.427,-110.306,-1.4,mis,,,,,,,,,,,,,,2
2160,2016-11-12,20:44:19.58,36.835,-112.959,20.6,eq,,,0.01,,-127.6,,14.57,,,,,,,1
2640,2017-10-26,17:45:48.63,40.379,-111.943,-2.0,ex,,,0.42,,-82.8,,13.57,,,,,,,0
1890,2016-05-07,15:29:26.13,37.12,-112.723,19.7,eq,0.27,,0.73,,-129.7,,14.77,,,,,,,1
865,2014-04-10,21:08:08.40,40.514,-112.156,-2.0,ex,,,,,,,,,,,,,,0
2555,2017-08-23,20:53:58.13,41.141,-112.919,-1.5,ex,-0.02,0.25,0.1,-93.2,-85.1,14.53,14.39,-0.02,0.07,,,,0.73,0
2839,2018-04-28,13:25:16.67,40.726,-111.804,-2.0,ex,,,,,,,,,,,,,,0
3184,2019-02-15,15:14:15.70,40.466,-111.937,8.4,eq,,,0.84,,-121.8,,13.98,,,,,,,1
8820,2022-07-28,05:24:34.60,39.426,-110.302,-1.6,mis,-0.27,0.17,0.17,-88.5,-110.7,13.8,12.92,,0.17,0.2,,,,2
2100,2016-09-30,16:42:08.13,40.713,-111.44,12.4,eq,-0.05,,0.73,,-109.9,,13.92,,,,,,-0.18,1
3104,2019-01-15,14:47:00.67,38.137,-113.106,9.1,eq,,,0.86,,-89.0,,16.42,,,,,,,1
5925,2020-05-03,20:12:46.85,40.739,-112.046,10.8,eq,,,,,,,,,,,,,,1
7094,2021-05-21,18:01:56.73,39.423,-110.319,-1.5,mis,,,,,,,,,,,,,,2
8629,2022-06-28,14:35:25.94,39.44,-110.329,-1.9,mis,-0.34,,,,,,,,,,,,,2
9694,2023-10-17,15:20:57.40,40.392,-111.645,10.5,eq,0.08,0.57,0.43,-112.8,-134.7,15.3,15.21,0.15,-0.02,0.03,0.04,-0.12,-0.12,1
682,2013-12-03,15:56:57.77,37.806,-113.49,4.4,eq,0.05,0.46,0.35,-110.2,-157.1,16.14,14.94,,-0.29,-0.2,-0.25,,-0.51,1
4821,2020-03-21,02:34:14.77,40.75,-112.046,7.6,eq,,,,,,,,,,,,,,1
1671,2015-10-27,02:09:55.94,41.858,-112.342,7.2,eq,,,,,,,,,,,,,,1
5355,2020-04-02,21:55:23.94,40.725,-112.064,8.4,eq,,,,,,,,,,,,,,1
7954,2021-11-10,01:30:56.95,39.424,-110.314,-1.3,mis,,,,,,,,,,,,,,2
1202,2014-11-10,17:05:06.58,40.492,-112.169,-2.0,ex,-0.51,,,,,,,,,,,,,0
7939,2021-11-06,15:15:46.53,40.723,-111.759,5.2,eq,,,,,,,,,,,,,,1
2193,2016-12-18,10:21:27.10,37.743,-112.998,6.2,eq,-0.17,0.79,0.46,-107.7,-121.4,14.15,15.32,0.13,-0.06,-0.03,0.02,-0.24,-0.15,1
7747,2021-10-14,16:23:37.87,39.43,-110.318,-1.1,mis,,,,,,,,,,,,,,2
8595,2022-06-21,01:14:54.08,39.432,-110.331,-1.4,mis,,-0.17,0.32,-96.0,-137.6,14.84,12.16,-0.1,0.09,,,,,2
6037,2020-05-18,22:35:34.34,38.731,-111.363,11.4,eq,-0.8,,0.08,,-129.4,,14.89,,,,,,-0.29,1
4493,2020-03-19,09:53:14.97,40.731,-112.073,9.6,eq,,,,,,,,,,,,,,1
2097,2016-09-29,00:10:29.60,40.509,-112.175,-2.0,ex,-0.31,0.17,-0.03,-94.9,-128.4,13.63,13.09,0.25,0.14,0.24,0.27,0.76,0.73,0
4029,2020-03-18,17:47:10.77,40.756,-112.056,8.1,eq,0.01,,,,,,,,,,,,,1
7454,2021-08-31,19:38:36.17,39.431,-110.308,-1.5,mis,,0.63,,-96.1,,13.67,,,,,,0.39,,2
7436,2021-08-30,16:47:38.38,40.719,-112.063,8.1,eq,,,,,,,,,,,,,,1
5694,2020-04-17,06:33:45.23,40.733,-112.059,9.5,eq,0.0,0.66,0.56,-132.6,-124.7,16.56,15.25,0.07,-0.03,0.0,0.03,-0.13,-0.09,1
1852,2016-04-01,14:27:26.55,40.752,-111.669,8.0,eq,,,,,,,,,,,,,,1
1598,2015-09-02,17:04:05.96,38.167,-109.094,-2.0,ex,,,,,,,,,,,,,,0
1458,2015-06-11,00:39:07.81,40.464,-111.947,-2.0,ex,-0.37,0.2,0.33,-81.3,-132.3,13.13,11.71,,,,,,,0
7178,2021-07-13,04:01:24.60,39.43,-110.303,-1.1,mis,-0.29,0.35,0.27,-89.7,-146.1,13.8,13.02,0.12,0.28,0.22,0.15,0.47,0.58,2
6277,2020-06-24,23:33:15.58,37.0,-112.744,20.8,eq,0.15,0.3,0.28,-165.7,-161.8,17.4,16.44,-0.22,-0.12,-0.06,-0.11,-0.33,-0.24,1
7505,2021-09-08,14:35:08.94,39.428,-110.31,-1.3,mis,-0.46,0.27,0.28,-92.2,-141.3,14.11,12.94,0.07,0.34,0.19,,,,2
2929,2018-07-14,16:32:38.45,41.669,-111.736,7.6,eq,0.11,,1.04,,-110.1,,13.66,,,,,,,1
2973,2018-09-04,19:27:53.77,36.974,-112.35,21.8,eq,-0.14,,0.57,,-104.7,,14.41,,,,,,,1
4345,2020-03-19,03:30:18.11,40.748,-112.045,6.4,eq,,,,,,,,,,,,,,1
9019,2022-08-24,12:49:27.77,39.428,-110.306,-1.4,mis,-0.35,0.11,0.12,-111.2,-105.7,14.29,12.94,,,,,,,2
2634,2017-10-22,20:26:49.51,40.508,-112.16,-2.0,ex,-0.06,0.09,0.56,-76.2,-122.7,13.22,11.96,,0.28,0.42,0.66,,0.35,0
5713,2020-04-17,23:30:27.53,40.732,-112.113,7.3,eq,,,,,,,,,,,,,,1
3707,2019-12-26,12:29:06.83,41.523,-111.735,10.5,eq,0.32,1.25,1.04,-116.6,-108.7,14.86,14.33,0.29,0.09,-0.01,-0.04,-0.01,0.07,1
9664,2023-09-24,00:48:33.04,37.434,-113.127,10.6,eq,0.08,0.24,0.16,-134.1,-150.3,16.82,15.76,-0.1,-0.14,-0.08,-0.11,-0.33,-0.25,1
1932,2016-06-07,00:12:09.64,39.669,-111.917,11.6,eq,,,0.92,,-102.2,,13.78,,,,,,,1
1146,2014-09-23,22:45:55.52,40.518,-112.172,-2.0,ex,-0.24,,0.51,,-135.9,,11.61,,,,,,-0.1,0
3465,2019-04-30,03:01:48.13,37.48,-113.84,5.0,eq,,,0.45,,-102.5,,14.49,,,,,,-0.16,1
7453,2021-08-31,18:32:22.40,39.424,-110.304,-1.4,mis,-0.57,0.04,0.08,-88.3,-104.9,13.42,13.5,,,,,,,2
6570,2020-09-04,03:11:51.68,37.492,-113.776,8.5,eq,0.08,0.55,0.51,-128.9,-146.6,16.2,14.72,0.04,-0.07,-0.0,-0.14,-0.47,-0.32,1
6940,2021-03-27,23:36:58.67,38.341,-113.095,4.6,eq,0.24,0.55,0.54,-102.5,-123.4,14.72,14.91,-0.32,-0.47,-0.55,-0.49,0.03,-0.09,1
2187,2016-12-08,23:25:39.60,36.985,-112.924,18.4,eq,-0.01,0.55,0.51,-105.6,-139.6,16.56,16.07,,-0.12,-0.18,-0.19,,-0.33,1
7786,2021-10-18,20:10:34.01,39.434,-110.34,-2.0,mis,,,,,,,,,,,,,,2
7617,2021-09-28,04:00:27.94,39.43,-110.306,-1.9,mis,-0.43,-0.23,-0.05,-92.0,-104.2,13.91,12.84,0.11,0.1,0.07,0.21,,0.47,2
5308,2020-03-31,13:15:04.61,40.76,-111.951,8.0,eq,,,,,,,,,,,,,,1
3665,2019-11-15,17:33:57.96,38.302,-112.658,6.3,eq,,,,,,,,,,,,,,1
6185,2020-06-08,22:53:05.37,39.413,-110.309,-1.1,mis,,,,,,,,,,,,,,2
5786,2020-04-21,00:33:06.47,40.74,-112.089,10.1,eq,,,,,,,,,,,,,,1
7054,2021-05-04,00:22:05.47,38.329,-113.097,4.5,eq,,,,,,,,,,,,,,1
6842,2021-01-27,05:19:02.39,39.431,-110.312,-1.4,mis,,,,,,,,,,,,,,2
159,2012-12-15,00:12:48.94,40.497,-112.161,-2.0,ex,-0.19,0.28,0.24,-90.0,-144.9,13.18,12.65,-0.16,-0.14,0.3,,,0.2,0
6413,2020-07-20,02:28:33.23,39.41,-110.306,-1.5,mis,,,0.33,,-132.9,,12.63,,,,,,,2
4186,2020-03-18,21:31:12.83,40.749,-112.042,8.1,eq,0.13,,0.73,,-90.2,,14.9,,,,,,,1
9100,2022-09-04,12:18:32.92,39.425,-110.301,-1.6,mis,,,-0.06,,-145.5,,12.51,,,,,,,2
3284,2019-02-23,19:30:23.15,40.483,-111.916,3.7,eq,,,,,,,,,,,,,,1
1177,2014-10-15,17:52:56.24,39.534,-112.204,-2.0,ex,-0.11,0.09,0.08,-43.3,-91.6,14.67,13.35,,0.35,0.31,0.44,,-0.21,0
7163,2021-06-25,20:03:45.91,40.725,-112.051,5.8,eq,,,,,,,,,,,,,,1
3554,2019-07-06,08:26:05.39,40.84,-111.558,11.9,eq,,,0.89,,-77.2,,14.54,,,,,,,1
8932,2022-08-11,17:18:16.38,39.427,-110.303,-1.2,mis,-0.42,0.03,0.23,-98.5,-124.2,13.96,13.32,-0.02,,,,0.22,,2
1286,2015-02-02,18:20:39.00,40.518,-112.168,-2.0,ex,-0.05,0.3,0.06,-63.2,-85.7,14.23,13.19,,0.04,0.19,0.35,,-0.13,0
3615,2019-09-21,23:51:21.82,38.305,-112.645,5.9,eq,,,,,,,,,,,,,,1
5041,2020-03-23,06:37:22.15,40.765,-112.09,9.8,eq,,,,,,,,,,,,,,1
8789,2022-07-21,05:03:01.74,39.434,-110.31,-1.7,mis,-0.4,-0.09,-0.13,-101.2,-129.2,13.91,13.6,-0.02,0.12,0.16,,,0.9,2
6293,2020-06-27,19:08:04.94,40.745,-112.08,10.3,eq,,,,,,,,,,,,,,1
1159,2014-10-03,20:11:14.44,38.968,-112.96,-2.0,ex,0.2,0.4,0.53,-88.1,-84.7,12.63,12.34,,,,,,,0
3701,2019-12-18,09:29:29.98,40.701,-111.627,8.7,eq,,,,,,,,,,,,,,1
8464,2022-04-05,14:04:16.04,38.477,-112.803,4.5,eq,,,,,,,,,,,,,,1
154,2012-12-13,00:24:56.01,42.168,-112.546,6.3,eq,0.17,0.65,0.59,-110.8,-113.9,15.2,14.52,0.01,-0.02,0.05,0.04,0.09,0.18,1
3229,2019-02-19,00:35:09.06,40.476,-111.94,7.0,eq,,,,,,,,,,,,,,1
1696,2015-11-13,20:59:20.18,40.608,-109.479,-2.0,ex,-0.17,-0.27,-0.4,-108.4,-132.0,14.51,14.54,0.02,-0.05,-0.02,0.06,0.27,0.3,0
3113,2019-01-18,17:29:25.67,37.495,-113.866,5.6,eq,,0.42,0.17,-101.9,-126.0,15.24,14.79,,0.04,0.14,-0.05,,-0.22,1
