   Date       Time      Lat     Lon     Dep  Tag   F1    F2    F3    F4     F5    F6    F7     F8    F9   F10   F11   F12
2013-08-05 02:17:08.81 39.160 -111.668 22.43  eq  0.38  0.86  0.76 -101.8 -129.3 16.14 14.28 -0.88 -0.74 -0.71 -0.20  0.02
2013-08-05 17:46:17.05 40.513 -112.168 -2.00  ex -0.15  0.09  0.00 -102.0 -106.3 13.36 14.02 -0.29 -0.14 -0.22  0.27  0.28
2013-08-11 17:24:30.08 40.498 -112.163 -2.00  ex -0.03  0.30  0.33  -78.9 -111.5 14.18 12.70 -0.47 -0.35 -0.12 -0.18  0.13
2013-08-15 11:42:17.24 37.522 -112.317  8.23  eq -0.20  0.15  0.09 -155.5 -166.4 17.20 16.20 -0.56 -0.43 -0.34 -0.05  0.26
2013-08-15 22:11:27.93 37.520 -112.309  6.81  eq  0.03  0.29  0.31 -133.9 -161.5 16.28 15.59 -0.68 -0.54 -0.49 -0.12  0.14
2013-08-19 11:38:27.72 39.376 -111.529  4.98  eq -0.28  0.33  0.18 -119.2 -131.7 15.85 14.88 -0.47 -0.44 -0.35  0.11  0.24
2013-08-19 15:53:42.75 39.365 -111.537  5.17  eq -0.36  0.20  0.11 -119.0 -134.4 16.78 15.62 -0.49 -0.54 -0.45 -0.04  0.15
2013-08-22 10:33:40.92 41.926 -112.355  9.95  eq  0.61  0.88  0.79 -115.4  -71.8 16.04 14.68 -0.52 -0.33 -0.40 -0.18 -0.10
2013-08-24 10:12:23.05 37.511 -112.307  6.79  eq -0.12  0.25  0.29 -118.2 -143.7 15.51 15.25 -0.54 -0.46 -0.38 -0.06  0.22
2013-08-27 17:52:55.58 41.137 -112.922 -1.50  ex -0.07  0.32  0.14  -84.5  -85.9 14.47 14.55 -0.45 -0.24 -0.23  0.57  0.82
2013-08-28 17:58:54.02 40.490 -112.170 -2.00  ex -0.01  0.31  0.59  -80.5  -79.5 13.73 12.39 -0.37 -0.29 -0.01  0.02  0.59
2013-09-05 17:46:55.06 40.502 -112.164 -2.00  ex -0.13  0.17  0.12  -70.8 -122.9 13.47 13.06 -0.52 -0.18  0.18 -0.21  0.23
2013-09-08 05:33:58.74 37.048 -112.616 17.79  eq  0.30  0.55  0.50 -137.9 -153.5 16.82 15.91 -0.56 -0.49 -0.40 -0.01  0.18
2013-09-10 20:22:07.77 38.486 -113.058 -2.00  ex  0.04 -0.01  0.14  -77.7 -101.4 14.63 15.50 -0.35 -0.22  0.20  0.23  0.67
2013-09-11 02:16:28.45 38.220 -112.608  6.63  eq  0.20  0.77  0.85 -114.7 -131.7 16.03 14.99 -0.70 -0.59 -0.56 -0.01  0.03
