    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2012-10-20 13:08:25.37  39.153  -111.661  19.0  eq   0.30   0.62   0.55 -117.2 -119.4  16.42  14.72  -0.10  -0.03  -0.02   0.02  -0.24  -0.09
2012-10-20 18:28:38.22  40.521  -112.180  -2.0  ex  -0.01   0.19   0.16  -86.0 -106.9  14.65  15.24   0.22   0.11   0.31   0.37  -0.55  -0.18
2012-10-21 00:18:59.32  40.513  -112.156  -2.0  ex  -0.04   0.26   0.91  -72.6 -123.2  14.21  11.49      X   0.34   0.29      X      X  -0.04
2012-10-21 17:39:08.87  40.524  -112.163  -2.0  ex  -0.02   0.33   0.56  -86.1 -112.3  13.62  12.37   0.27   0.37   0.32   0.43   0.14   0.39
2012-10-21 21:20:58.83  40.523  -112.160  -2.0  ex  -0.08   0.13   0.78  -58.7 -123.3  13.94  11.46      X      X      X      X      X   0.14
2012-10-23 16:59:44.34  40.527  -112.159  -2.0  ex  -0.07   0.28      X  -90.2      X  13.32      X      X      X      X      X      X      X
2012-10-23 20:30:07.62  40.529  -112.170  -2.0  ex   0.07   0.22   0.23  -72.7 -106.0  14.28  12.74   0.18   0.15   0.32   0.15   0.28   0.23
2012-10-24 05:13:17.41  39.154  -111.664  18.7  eq   0.28   0.57   0.43 -109.1 -125.9  16.70  15.02  -0.08   0.03   0.06   0.08  -0.12  -0.04
2012-10-24 15:09:59.73  42.083  -112.501   5.2  eq   0.00   0.65   0.58  -87.4  -86.4  16.09  14.35      X  -0.21      X      X      X      X
2012-10-24 16:31:14.03  40.524  -112.157  -2.0  ex  -1.17      X  -0.25      X  -60.1      X  12.79      X      X      X      X      X      X
2012-10-24 19:13:33.77  40.812  -111.871  -2.0  ex  -0.60      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-24 19:58:55.40  40.521  -112.158  -2.0  ex   0.05   0.45   0.35  -78.1  -96.5  13.30  12.47   0.26   0.35   0.31   0.30   0.12   0.23
2012-10-24 23:20:36.65  40.621  -109.545  -2.0  ex  -0.22   0.26  -0.21 -106.2 -131.5  12.96  13.58  -0.12  -0.03  -0.08      X      X   0.68
2012-10-25 16:10:53.49  38.156  -109.141  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-25 22:16:45.58  40.491  -112.174  -2.0  ex   0.00   0.34   1.04  -67.8 -123.2  13.39  11.68   0.03   0.12   0.00      X      X   0.16
2012-10-26 18:11:51.27  40.486  -112.171  -2.0  ex   0.02      X   0.54      X -120.6      X  11.94      X      X      X      X      X   0.30
2012-10-26 22:34:02.60  40.525  -112.147  -2.0  ex   0.02   0.36   0.76  -86.9 -143.4  13.20  11.79   0.24   0.23   0.13   0.30   0.13   0.35
2012-10-27 19:19:08.28  40.505  -112.141  -2.0  ex  -0.32   0.09  -0.12  -82.0  -90.1  14.78  14.80      X      X      X      X      X  -0.08
2012-10-27 22:58:54.12  40.494  -112.156  -2.0  ex  -0.03   0.32   0.26  -81.4  -95.2  13.66  12.55      X   0.25   0.21      X      X   0.23
2012-10-28 18:53:53.55  40.524  -112.170  -2.0  ex  -0.09   0.23   0.13  -69.7 -117.1  14.07  12.77   0.24   0.14   0.23   0.25   0.17   0.15
2012-10-28 22:47:32.88  40.519  -112.160  -2.0  ex  -0.20   0.18   0.06  -70.0 -104.6  12.58  12.56      X      X      X      X      X      X
2012-10-29 18:59:37.37  41.136  -112.912  -1.5  ex  -0.21      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-29 19:09:54.42  40.489  -112.168  -2.0  ex   0.00   0.17   0.39  -98.4  -76.3  14.29  12.85      X      X      X      X      X      X
2012-10-29 20:44:07.48  41.144  -112.924  -1.5  ex      X      X   0.35      X -105.7      X  13.96      X      X      X      X      X      X
2012-10-29 23:26:22.05  40.491  -112.179  -2.0  ex      X   0.13   0.22  -60.6  -79.9  14.21  12.76      X      X      X      X      X      X
2012-10-30 17:03:05.89  40.519  -112.194  -2.0  ex   0.12   0.16   0.73  -64.6 -137.9  14.61  11.88      X      X      X      X      X      X
2012-10-30 22:44:45.65  40.524  -112.129  -2.0  ex  -0.04      X   0.29      X -104.4      X  12.41      X      X      X      X      X      X
2012-10-31 11:40:18.51  37.082  -112.827  20.6  eq  -0.37      X   0.76      X -104.6      X  14.38      X      X      X      X      X      X
2012-10-31 17:03:21.39  40.520  -112.170  -2.0  ex  -0.25   0.06  -0.04  -89.5 -114.3  13.51  12.86      X   0.05  -0.05  -0.15   0.20   0.10
2012-10-31 17:17:06.14  41.125  -112.915  -1.5  ex  -0.18      X   0.52      X  -74.7      X  14.06      X      X      X      X      X      X
2012-10-31 17:43:03.70  37.045  -112.932  17.2  eq      X      X   0.27      X -124.3      X  14.15      X      X      X      X      X      X
2012-10-31 19:15:53.94  41.133  -112.925  -1.5  ex   0.12      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-31 21:14:17.83  40.522  -112.174  -2.0  ex   0.25      X   0.91      X  -91.1      X  12.84      X      X      X      X      X      X
2012-11-01 17:36:07.29  40.497  -112.165  -2.0  ex  -0.25   0.18  -0.06  -74.1 -120.6  13.26  13.37   0.05   0.04   0.12  -0.07   0.25   0.04
2012-11-01 18:58:06.80  40.830  -111.883  -2.0  ex  -0.73      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-01 21:55:01.13  40.492  -112.162  -2.0  ex  -0.01   0.78   0.33  -82.4 -124.2  13.54  12.94   0.13      X      X      X      X   0.10
2012-11-01 23:11:01.04  40.474  -111.964  -2.0  ex  -0.70      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-02 17:12:53.98  40.523  -112.165  -2.0  ex  -0.21   0.00   0.30  -80.5 -143.6  13.99  12.21   0.23   0.02  -0.07      X      X   0.49
2012-11-03 13:49:22.78  40.722  -111.786  -2.0  ex  -0.10      X  -0.10      X  -64.2      X  13.35      X      X      X      X      X      X
2012-11-04 06:04:20.01  39.446  -111.886  12.7  eq  -0.07   0.12   0.05 -146.0 -150.6  16.95  15.64  -0.03   0.01   0.11   0.09  -0.27  -0.16
2012-11-05 21:51:04.37  41.141  -112.924  -1.5  ex  -0.08      X   0.59      X  -79.6      X  14.24      X      X      X      X      X      X
2012-11-06 17:05:58.41  38.155  -109.109  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-06 22:32:45.92  38.946  -112.920  -2.0  ex      X   1.12   0.68  -63.1  -98.1  12.82  12.72      X      X      X      X      X      X
2012-11-07 00:37:03.81  36.975  -113.514  -2.0  ex  -0.25   0.04  -0.14  -70.6  -81.2  13.18  13.53   0.07   0.12   0.23   0.14      X   0.32
2012-11-07 21:01:54.00  40.521  -112.168  -2.0  ex  -1.52  -0.97  -1.33  -91.4 -132.8  14.59  13.45   0.27   0.22   0.14  -0.12   0.15  -0.28
2012-11-10 16:49:26.44  37.407  -113.040  18.3  eq      X      X   1.35      X -121.2      X  15.95      X      X      X      X      X      X
2012-11-12 23:41:15.17  40.522  -112.151  -2.0  ex   0.11   0.34   0.56  -89.3 -119.7  14.04  12.07      X   0.07   0.22   0.44      X   0.33
2012-11-13 17:09:42.13  38.125  -109.107  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-13 23:56:21.98  40.628  -111.409  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-14 17:35:06.65  38.144  -109.113  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-16 15:43:12.55  37.636  -113.008   6.4  eq      X      X   0.36      X -108.3      X  13.93      X      X      X      X      X      X
2012-11-19 23:58:34.12  40.506  -112.180  -2.0  ex  -0.14      X   0.12      X -112.9      X  12.83  -0.06   0.07  -0.01   0.22   0.10   0.13
2012-11-20 23:25:07.95  38.934  -112.908  -2.0  ex   0.18   0.67   0.71  -72.5 -112.0  13.13  12.08      X      X      X      X      X      X
2012-11-21 01:18:53.04  39.155  -111.661  19.5  eq   0.40   0.62   0.65 -106.2 -116.4  15.88  14.35  -0.01  -0.06  -0.06  -0.14  -0.10   0.00
2012-11-22 03:21:32.74  38.219  -111.281   8.0  eq      X   0.37   0.28 -117.4 -120.4  15.65  14.77      X  -0.03   0.05   0.10      X  -0.26
2012-11-22 03:48:49.13  39.618  -110.394  -1.4 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-23 14:56:20.75  39.615  -110.397  -1.2 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-24 04:36:50.56  41.117  -111.669   9.8  eq   0.33   0.91   1.09  -81.0 -122.7  14.12  13.85      X  -0.17  -0.12      X      X   0.23
2012-11-25 17:56:04.64  40.502  -112.171  -2.0  ex  -0.07   0.57   0.52  -59.0 -131.5  13.72  11.87      X      X      X      X      X   0.09
2012-11-27 14:55:03.72  40.822  -111.883  -2.0  ex  -0.56      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-27 22:49:44.20  40.637  -109.499  -2.0  ex  -0.28  -0.21  -0.33  -82.2 -101.9  15.10  13.79  -0.09  -0.04  -0.07   0.02   0.50   0.48
2012-11-27 22:53:27.55  41.359  -112.015  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
